Street,Address,Suburb,State,Postcode,Type,Date,Method,Price,Bedrooms,Bathrooms,Cars,Area,Agent,Latitude,Longitude,Distance
5 Wallis Glen ,CRANEBROOK NSW 2749,CRANEBROOK,NSW,2749,House,05 May 2011,private treaty,34000,3,1,2,627m² ,Starr Partners St Marys/Erskine Park/Minchinbury/Ropes Crossing,-33.7159307,150.7132129,49.12619489451784
15 Harley Ave ,MOUNT VICTORIA NSW 2786,MOUNT VICTORIA,NSW,2786,House,05 Mar 2011,auction,127500,3,1,2,871m² ,Century 21 Williams Real Estate ,-33.59113615,150.2565432634014,93.59595118192881
11 Vernon Street ,CAMMERAY NSW 2062,CAMMERAY,NSW,2062,House,02 Dec 2010,private treaty,1,3,2,2,682m² ,Ray White Lower North Shore Group,-33.8193509,151.2177214,6.0977201950505
No Street Found,SOUTH PENRITH NSW 2750,SOUTH PENRITH,NSW,2750,House,19 Nov 2010,private treaty,399,3,1,2,557m² ,Property Central Penrith,-33.772521,150.6982616,48.572265011904506
No Street Found,BULLABURRA NSW 2784,BULLABURRA,NSW,2784,House,15 Oct 2010,private treaty,1,2,1,0,"1,523m² ",Century 21 Central Mountains Hazelbrook,-33.7248596,150.4137982,75.39672301314346
16 Wainwright Street ,GUILDFORD NSW 2161,GUILDFORD,NSW,2161,House,18 Sep 2010,private treaty,420,2,1,1,561m² ,LJ Hooker Granville | Guildford | Merrylands,-33.8473461,150.9778799,21.602184481229486
162 Kyle Parade ,CONNELLS POINT NSW 2221,CONNELLS POINT,NSW,2221,House,03 Jul 2010,private treaty,100000,3,1,3,923m² ,Stone Sans Souci,-33.9870623,151.0966873,16.352559666365018
27 Cooper Ave ,MOOREBANK NSW 2170,MOOREBANK,NSW,2170,House,20 May 2010,private treaty,400,3,1,2,725m² ,John Williams Real Estate One,-33.9336794,150.9293836,26.712776470334905
48 View St ,LAWSON NSW 2783,LAWSON,NSW,2783,House,12 Feb 2010,auction,1,4,3,3,970m² ,Bianca Brown Realty,-33.7261025,150.4270276,74.17303236327022
Lot 13 Gardiner Cres ,ELDERSLIE NSW 2570,ELDERSLIE,NSW,2570,House,23 Dec 2009,private treaty,21000,4,2,2,451m² ,UNKNOWN,-34.0588508,150.7222366,49.44803440598526
