Street,Address,Suburb,State,Postcode,Type,Date,Method,Price,Bedrooms,Bathrooms,Cars,Area,Agent,Latitude,Longitude,Distance
1/26 Raglan Road ,RESEARCH VIC 3095,RESEARCH,VIC,3095,Townhouse,14-Jul-21,private treaty,980100,3,2,3,0,Barry Plant Eltham,-37.7050427,145.1815599,22.7224269
1/95 Charles Street ,ASCOT VALE VIC 3032,ASCOT VALE,VIC,3032,Villa,18-Jun-22,auction,688001,2,1,1,0,Jerome Feery,-37.7791372,144.9089619,6.157779888
6a Weaver Court ,ALTONA MEADOWS VIC 3028,ALTONA MEADOWS,VIC,3028,Townhouse,23-Jun-22,auction,655000,3,2,2,0,Ray White Altona,-37.8741142,144.7828483,17.18217883
208 Blyth Street ,ALTONA VIC 3018,ALTONA,VIC,3018,New apartments / off the plan,17-Mar-20,private treaty,1025000,4,3,2,0,UNKNOWN,-37.8693946,144.8175921,14.18323892
1/24 Tyler Street ,PRESTON VIC 3072,PRESTON,VIC,3072,Villa,26-May-22,private treaty,600000,3,1,2,0,Jellis Craig Northcote,-37.7305869,145.0094842,10.15477177
1/2 Elizabeth Grove ,BUNDOORA VIC 3083,BUNDOORA,VIC,3083,Villa,2-Jun-22,auction,615000,3,1,2,0,Ray White Preston,-37.7019371,145.0610151,15.16649762
2/4 Station Crescent ,BAXTER VIC 3911,BAXTER,VIC,3911,Townhouse,23-Dec-21,private treaty,755000,3,2,2,0,UNKNOWN,-38.1957593,145.1591885,45.78457508
4/872 Drummond Street ,CARLTON NORTH VIC 3054,CARLTON NORTH,VIC,3054,Townhouse,16-Dec-21,private treaty,842000,2,1,1,0,Nelson Alexander | Carlton,-37.7825113,144.9715613,3.6031435
3/280 Grimshaw Street ,WATSONIA NORTH VIC 3087,WATSONIA NORTH,VIC,3087,Townhouse,26-Jan-22,private treaty,760000,3,2,1,0,Morrison Kleeman Estate Agents,-37.7029126,145.0875343,16.5195862
2/143 Kars Street ,FRANKSTON SOUTH VIC 3199,FRANKSTON SOUTH,VIC,3199,Apartment ,29-Jan-22,auction,745000,3,2,2,0,Ray White Frankston,-38.1600508,145.1156623,40.7239518
3 Potts Close ,TYABB VIC 3913,TYABB,VIC,3913,Townhouse,7-Jul-22,private treaty,717000,3,2,2,0,UNKNOWN,-38.2602161,145.1899225,53.43804945
1/36 Smith Road ,SPRINGVALE VIC 3171,SPRINGVALE,VIC,3171,Townhouse,13-Nov-21,auction,881100,4,2,2,0,iSell Group,-37.9414836,145.1662721,22.76794379
2/1 Alison Street ,MOORABBIN VIC 3189,MOORABBIN,VIC,3189,Villa,1-Jun-22,auction,650000,2,1,1,0,    Gary Peer,-37.9435923,145.0425948,15.99114279
3 Butchers Mews ,HURSTBRIDGE VIC 3099,HURSTBRIDGE,VIC,3099,Townhouse,17-May-22,private treaty,670000,2,2,1,0,Mason White McDougall Hurstbridge,-37.6369302,145.1952568,28.38672552
404/336 South Rd ,HAMPTON EAST VIC 3188,HAMPTON EAST,VIC,3188,Apartment ,1-Dec-21,private treaty,810000,3,2,2,0,Nick Johnstone Real Estate,-37.9385409,145.0306726,15.04527261
41 Walton street ,MELTON SOUTH VIC 3338,MELTON SOUTH,VIC,3338,New house and land,16-May-22,private treaty,680000,4,2,2,0,Bloom Estate Agents,-37.7162204,144.5655526,36.62153205
2/32 Sellars Street ,WATSONIA NORTH VIC 3087,WATSONIA NORTH,VIC,3087,Townhouse,4-Dec-21,auction,822000,3,2,1,0,Barry Plant Bundoora,-37.6990501,145.0900251,16.98719915
4/367 Lower Plenty Road ,VIEWBANK VIC 3084,VIEWBANK,VIC,3084,Apartment ,4-Dec-21,auction,800000,3,1,2,0,Nelson Alexander Ivanhoe,-37.7338432,145.0806322,13.65989451
28B Gladstone Street ,HAMLYN HEIGHTS VIC 3215,HAMLYN HEIGHTS,VIC,3215,Townhouse,4-Dec-21,auction,830000,3,2,1,0,Buxton Geelong North Pty Ltd,-38.1281453,144.3280649,65.72989499
11 Farnsworth Street ,SUNSHINE VIC 3020,SUNSHINE,VIC,3020,Townhouse,12-Nov-21,auction,840000,3,2,3,0,Ray White Altona,-37.7782396,144.8382057,11.6890819
2/3 McMahons Road ,COBURG NORTH VIC 3058,COBURG NORTH,VIC,3058,Villa,19-May-22,private treaty,690000,2,2,1,0,Nelson Alexander | Coburg,-37.728277,144.9702511,9.57946456
