Street,Address,Suburb,State,Postcode,Type,Date,Method,Price,Bedrooms,Bathrooms,Cars,Area,Agent,Latitude,Longitude,Distance
35/639 Ballarat Road ,ALBION VIC 3020,ALBION,VIC,3020,Retirement Living,23-Nov-18,private treaty,233000,1,1,1,0,UNKNOWN,-37.777232,144.8243896,12.8722341
11/1554-1556 Dandenong Road ,HUNTINGDALE VIC 3166,HUNTINGDALE,VIC,3166,Apartment ,23-Dec-21,private treaty,296000,1,1,1,0,UNKNOWN,-37.91110585,145.1025058,16.30557745
10/128-130 Beach Road ,PARKDALE VIC 3195,PARKDALE,VIC,3195,Retirement Living,25-Jul-20,private treaty,295000,2,1,1,0,Hodges Mentone/Chelsea,-37.9918673,145.081286,22.3145216
3/23 Fitzgibbon Avenue ,BRUNSWICK WEST VIC 3055,BRUNSWICK WEST,VIC,3055,Villa,22-Jun-22,private treaty,337000,1,1,1,0,Steven Shaw,-37.7712374,144.9467011,4.994801
8/5 Govan Court ,FOOTSCRAY VIC 3011,FOOTSCRAY,VIC,3011,Villa,16-Dec-20,private treaty,297000,1,1,1,0,Jas Stephens Real Estate Yarraville,-37.7904484,144.8844204,7.408023962
1906/18 Mount Alexander Road ,TRAVANCORE VIC 3032,TRAVANCORE,VIC,3032,Apartment ,4-Dec-21,auction,300000,2,1,1,0,Pagan Real Estate,-37.7865793,144.9397452,3.699448411
2/133 Booran Road ,CAULFIELD SOUTH VIC 3162,CAULFIELD SOUTH,VIC,3162,Apartment ,2-Feb-21,private treaty,295000,1,1,1,0, Gary Peer,-37.8969142,145.0361127,11.20966986
3/157 Buckingham Street ,RICHMOND VIC 3121,RICHMOND,VIC,3121,Studio,21-Dec-20,private treaty,270000,0,1,1,0,Biggin & Scott Richmond,-37.8138709,145.0024239,3.450346419
1/38 John Street ,ALTONA NORTH VIC 3025,ALTONA NORTH,VIC,3025,Apartment ,22-Jun-21,auction,270000,1,1,1,0,Williams Real Estate,-37.8317166,144.8362117,11.32248936
34/282-300 Clifton Avenue ,LEOPOLD VIC 3224,LEOPOLD,VIC,3224,Retirement Living,17-May-21,private treaty,255000,3,1,1,0, @realty,-38.1891547,144.4644962,60.41130854
16/6 Garnet Street ,BRUNSWICK VIC 3056,BRUNSWICK,VIC,3056,Villa,1-Apr-21,private treaty,273900,1,1,1,0,Jellis Craig - Brunswick,-37.7570374,144.9533393,6.418476223
Beach Box 90 Mills Beach ,MORNINGTON VIC 3931,MORNINGTON,VIC,3931,Studio,16-Apr-21,private treaty,250000,0,0,0,0,UNKNOWN,-38.2197962,145.0412592,45.62859576
78-79/70 Bailey Street ,BELMONT VIC 3216,BELMONT,VIC,3216,Villa,30-Jul-14,private treaty,119000,3,2,1,0,Barry Plant - Geelong,-38.1785947,144.3421337,67.86659551
1/4-10 Plover Street ,MELTON VIC 3337,MELTON,VIC,3337,Villa,4-Jun-12,private treaty,140000,2,1,1,0,Moonee Valley Real Estate,-37.6773017,144.5709731,37.7064106
8/109 Grange Road ,GLEN HUNTLY VIC 3163,GLEN HUNTLY,VIC,3163,Studio,10-Jan-22,private treaty,193000,0,1,0,0,Hodges Caulfield,-37.8881349,145.0456285,10.95712731
3212/478 swanston street melbourne ,MELBOURNE VIC 3000,MELBOURNE,VIC,3000,House,21-Dec-09,Another Method,125000,1,1,0,0,Property X,-37.8142176,144.9631608,0.0
22/16 McKenzie Street ,MELTON VIC 3337,MELTON,VIC,3337,Studio,14-Apr-09,private treaty,72000,1,1,0,0,ASL Real Estate,-37.6847578,144.5804412,36.61052433
266/488 Swanston Street ,MELBOURNE VIC 3000,MELBOURNE,VIC,3000,Apartment ,3-Jul-09,Another Method,110000,1,1,0,0,Property X,-37.8142176,144.9631608,0.0
